Date,Power-1,solarRad_W/m2,temp_C,Hour,DayOfWeek,Day_Night,sin_hour,cos_hour,sin_dayofweek,Month,Power-2,Delta_Power,Power-3,Power-24
2019-03-19 03:00:00,118.918,0.9209166666666668,12.0225,3,1,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,3,116.625,2.2930000000000064,121.712,109.848
2019-03-19 04:00:00,116.721,0.9970833333333332,11.809166666666668,4,1,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,3,118.918,-2.1970000000000027,116.625,112.765
2019-03-19 05:00:00,115.932,1.010916666666667,11.6425,5,1,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,3,116.721,-0.7890000000000015,118.918,110.649
2019-03-19 06:00:00,119.171,6.0035,11.521666666666668,6,1,1,1.0,6.123233995736766e-17,0.7818314824680298,3,115.932,3.2390000000000043,116.721,115.495
2019-03-19 07:00:00,125.434,127.39166666666668,12.165833333333332,7,1,1,0.9659258262890683,-0.25881904510252063,0.7818314824680298,3,119.171,6.262999999999991,115.932,158.635
2019-03-19 08:00:00,170.422,325.1,12.3175,8,1,1,0.8660254037844387,-0.4999999999999998,0.7818314824680298,3,125.434,44.988,119.171,281.961
2019-03-19 09:00:00,296.83,517.6,13.8625,9,1,1,0.7071067811865476,-0.7071067811865475,0.7818314824680298,3,170.422,126.40799999999999,125.434,243.881
2019-03-19 10:00:00,286.331,671.8583333333333,14.465833333333334,10,1,1,0.49999999999999994,-0.8660254037844387,0.7818314824680298,3,296.83,-10.498999999999967,170.422,305.494
2019-03-19 11:00:00,316.308,775.0833333333334,15.6375,11,1,1,0.258819045102521,-0.9659258262890682,0.7818314824680298,3,286.331,29.976999999999975,296.83,324.576
2019-03-19 12:00:00,325.485,818.0,16.570833333333333,12,1,1,1.2246467991473532e-16,-1.0,0.7818314824680298,3,316.308,9.177000000000021,286.331,318.025
2019-03-19 13:00:00,328.344,797.4166666666666,17.599166666666665,13,1,1,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,3,325.485,2.8589999999999804,316.308,315.441
2019-03-19 14:00:00,309.089,720.3000000000001,18.599166666666665,14,1,1,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,3,328.344,-19.254999999999995,325.485,319.543
2019-03-19 15:00:00,326.217,586.2166666666667,18.829166666666666,15,1,1,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,3,309.089,17.127999999999986,328.344,326.991
2019-03-19 16:00:00,306.226,409.975,19.091666666666665,16,1,1,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,3,326.217,-19.990999999999985,309.089,328.229
2019-03-19 17:00:00,283.993,202.74166666666667,18.4475,17,1,1,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,3,306.226,-22.233000000000004,326.217,310.972
2019-03-19 18:00:00,265.301,36.35766666666667,16.809166666666666,18,1,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,3,283.993,-18.692000000000007,306.226,288.462
2019-03-19 19:00:00,236.294,0.9066666666666668,14.955833333333333,19,1,1,-0.9659258262890684,0.2588190451025203,0.7818314824680298,3,265.301,-29.006999999999977,283.993,210.764
2019-03-19 20:00:00,195.619,0.9275,14.605833333333331,20,1,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,3,236.294,-40.67500000000001,265.301,165.727
2019-03-19 21:00:00,147.223,0.8515,14.628333333333332,21,1,0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,3,195.619,-48.39599999999999,236.294,130.008
2019-03-19 22:00:00,115.322,1.0060833333333334,14.398333333333332,22,1,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,3,147.223,-31.90100000000001,195.619,128.823
