Date,Power_kW
2019-01-19 07:00:00,110.523
2019-01-19 08:00:00,118.979
2019-01-19 09:00:00,118.4
2019-01-19 10:00:00,117.496
2019-01-19 11:00:00,127.516
2019-01-19 12:00:00,120.666
2019-01-19 13:00:00,119.462
2019-01-19 14:00:00,122.667
2019-01-19 15:00:00,123.043
2019-01-19 16:00:00,123.702
2019-01-19 17:00:00,121.935
2019-01-19 18:00:00,121.187
2019-01-19 19:00:00,115.851
2019-01-19 20:00:00,114.567
2019-01-19 21:00:00,105.612
2019-01-19 22:00:00,102.212
2019-01-19 23:00:00,101.173
2019-01-20 00:00:00,98.475
2019-01-20 01:00:00,100.307
2019-01-20 02:00:00,97.647
2019-01-20 03:00:00,96.439
2019-01-20 04:00:00,99.582
2019-01-20 05:00:00,98.306
2019-01-20 06:00:00,99.249
2019-01-20 07:00:00,98.774
2019-01-20 08:00:00,104.93
2019-01-20 09:00:00,100.514
2019-01-20 10:00:00,103.27
2019-01-20 11:00:00,108.403
2019-01-20 12:00:00,110.688
2019-01-20 13:00:00,108.276
2019-01-20 14:00:00,107.13
2019-01-20 15:00:00,107.962
2019-01-20 16:00:00,103.627
2019-01-20 17:00:00,104.083
2019-01-20 18:00:00,103.876
2019-01-20 19:00:00,108.825
2019-01-20 20:00:00,104.09
2019-01-20 21:00:00,100.522
2019-01-20 22:00:00,103.523
2019-01-20 23:00:00,105.191
2019-01-21 00:00:00,99.985
2019-01-21 01:00:00,99.437
2019-01-21 02:00:00,102.963
2019-01-21 03:00:00,100.131
2019-01-21 04:00:00,99.425
2019-01-21 05:00:00,103.151
2019-01-21 06:00:00,104.685
2019-01-21 07:00:00,149.454
2019-01-21 08:00:00,189.049
2019-01-21 09:00:00,239.108
2019-01-21 10:00:00,264.473
2019-01-21 11:00:00,340.772
2019-01-21 12:00:00,297.724
2019-01-21 13:00:00,297.616
2019-01-21 14:00:00,301.143
2019-01-21 15:00:00,304.29
2019-01-21 16:00:00,282.383
2019-01-21 17:00:00,274.919
2019-01-21 18:00:00,224.423
2019-01-21 19:00:00,181.313
2019-01-21 20:00:00,150.324
2019-01-21 21:00:00,122.816
2019-01-21 22:00:00,108.629
2019-01-21 23:00:00,105.984
2019-01-22 00:00:00,109.741
2019-01-22 01:00:00,105.099
2019-01-22 02:00:00,107.678
2019-01-22 03:00:00,101.618
2019-01-22 04:00:00,105.114
2019-01-22 05:00:00,103.611
2019-01-22 06:00:00,108.863
2019-01-22 07:00:00,158.692
2019-01-22 08:00:00,205.697
2019-01-22 09:00:00,237.092
2019-01-22 10:00:00,273.217
2019-01-22 11:00:00,336.969
2019-01-22 12:00:00,290.801
2019-01-22 13:00:00,319.961
2019-01-22 14:00:00,302.619
2019-01-22 15:00:00,313.279
2019-01-22 16:00:00,285.557
2019-01-22 17:00:00,283.333
2019-01-22 18:00:00,225.734
2019-01-22 19:00:00,178.327
2019-01-22 20:00:00,150.044
2019-01-22 21:00:00,122.257
2019-01-22 22:00:00,115.479
2019-01-22 23:00:00,114.854
2019-01-23 00:00:00,114.191
2019-01-23 01:00:00,109.626
2019-01-23 02:00:00,110.573
2019-01-23 03:00:00,106.13
2019-01-23 04:00:00,104.999
2019-01-23 05:00:00,106.555
2019-01-23 06:00:00,109.411
2019-01-23 07:00:00,158.8
2019-01-23 08:00:00,197.39
2019-01-23 09:00:00,230.414
2019-01-23 10:00:00,266.593
2019-01-23 11:00:00,353.008
2019-01-23 12:00:00,299.878
2019-01-23 13:00:00,306.119
2019-01-23 14:00:00,306.061
2019-01-23 15:00:00,283.855
2019-01-23 16:00:00,262.652
2019-01-23 17:00:00,259.766
2019-01-23 18:00:00,234.623
2019-01-23 19:00:00,193.196
2019-01-23 20:00:00,156.147
2019-01-23 21:00:00,129.44
2019-01-23 22:00:00,118.067
2019-01-23 23:00:00,117.519
2019-01-24 00:00:00,113.685
2019-01-24 01:00:00,116.794
2019-01-24 02:00:00,113.505
2019-01-24 03:00:00,111.301
2019-01-24 04:00:00,107.437
2019-01-24 05:00:00,106.279
2019-01-24 06:00:00,110.699
2019-01-24 07:00:00,159.022
2019-01-24 08:00:00,193.683
2019-01-24 09:00:00,226.838
2019-01-24 10:00:00,259.118
2019-01-24 11:00:00,331.806
2019-01-24 12:00:00,289.467
2019-01-24 13:00:00,269.744
2019-01-24 14:00:00,298.578
2019-01-24 15:00:00,282.67
2019-01-24 16:00:00,259.406
2019-01-24 17:00:00,253.985
2019-01-24 18:00:00,218.059
2019-01-24 19:00:00,179.005
2019-01-24 20:00:00,150.796
2019-01-24 21:00:00,121.662
2019-01-24 22:00:00,115.932
2019-01-24 23:00:00,108.276
2019-01-25 00:00:00,109.38
2019-01-25 01:00:00,102.492
2019-01-25 02:00:00,103.895
2019-01-25 03:00:00,107.713
2019-01-25 04:00:00,104.895
2019-01-25 05:00:00,106.214
2019-01-25 06:00:00,114.149
2019-01-25 07:00:00,152.977
2019-01-25 08:00:00,192.859
2019-01-25 09:00:00,212.788
2019-01-25 10:00:00,244.095
